,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
161,Barclay Goodrow,S.J,C,77,1061.3333333333,5,3,2,1,8,40.00,73,6.85,9.54,141,110,78,41,10,15,75,26,19,7,0,16,54,26,149,66,60,108,144,42.86
191,Jimmy Vesey,"COL, NYR",L,43,457.85,5,3,3,0,8,61.54,36,13.89,3.84,75,57,34,15,5,5,0,0,0,0,0,4,23,7,32,9,12,3,12,20.00
197,Brock McGinn,ANA,L,26,304.41666666667,4,4,2,2,8,66.67,30,13.33,4.22,48,38,30,24,1,7,0,0,0,0,0,7,8,7,60,12,28,1,7,12.50
230,Miles Wood,COL,L,37,420.13333333333,4,4,1,3,8,61.54,60,6.67,6.8,122,92,63,36,5,9,48,17,14,2,1,11,26,6,48,37,15,3,8,27.27
301,Justin Kirkland,CGY,C,21,203.71666666667,2,6,4,2,8,80.00,9,22.22,1.13,23,18,8,5,0,2,11,4,3,1,0,4,8,3,45,18,16,54,72,42.86
339,Jordan Greenway,BUF,L,34,512.51666666667,3,5,4,1,8,36.36,36,8.33,4.89,88,67,44,22,6,6,45,14,10,3,1,15,23,7,97,33,29,7,27,20.59
447,Jacob Moverare,L.A,D,49,581.08333333333,1,7,2,5,8,30.77,30,3.33,1.03,76,44,18,2,6,10,10,5,5,0,0,1,24,7,31,84,60,0,0,-
513,Erik Brannstrom,VAN,D,28,418.2,3,5,3,2,8,50.00,33,9.09,1.23,81,49,16,1,4,3,17,7,6,1,0,7,26,6,14,41,39,0,0,-
566,Rasmus Kupari,WPG,C,59,605.13333333333,5,3,3,0,8,61.54,53,9.43,5.83,99,76,44,27,5,5,16,7,7,0,0,9,30,9,77,57,31,262,237,52.51
567,Ty Dellandrea,S.J,C,68,802.7,1,7,3,4,8,57.14,50,2.00,7.01,117,88,71,29,5,13,59,25,22,3,0,16,33,9,163,90,47,209,210,49.88
578,Jacob Bernard-Docker,"BUF, OTT",D,40,544.6,2,6,3,3,8,29.63,32,6.25,1.09,94,56,27,1,3,4,17,7,6,1,0,4,22,3,30,68,50,0,0,-
607,Jake Christiansen,CBJ,D,68,852.71666666667,1,7,4,3,8,20.51,58,1.72,1.97,135,88,33,2,4,12,11,4,3,1,0,2,51,8,50,96,65,0,0,-
672,Cole Schwindt,VGK,R,42,388.76666666667,1,7,2,5,8,53.33,32,3.13,4.55,68,51,41,17,0,10,0,0,0,0,0,9,21,6,41,37,17,111,107,50.92
731,Hendrix Lapierre,WSH,C,27,264.5,0,8,3,5,8,100.00,18,0.00,2.55,37,28,22,12,0,4,4,2,2,0,0,5,17,5,13,26,14,40,61,39.60
741,Wyatt Kaiser,CHI,D,57,1032.6666666667,4,4,2,2,8,22.22,66,6.06,2.24,127,91,36,2,6,10,14,7,7,0,0,9,60,23,53,132,93,0,0,-
754,Matt Rempe,NYR,C,42,357.31666666667,3,5,2,3,8,53.33,30,10.00,4.35,59,48,38,23,4,7,67,22,16,5,1,14,8,4,117,53,14,2,11,15.38
781,Nolan Allan,CHI,D,43,650.51666666667,1,7,3,4,8,38.10,17,5.88,1.01,64,33,22,6,5,3,16,8,8,0,0,0,22,8,61,93,48,0,0,-
827,Seamus Casey,N.J,D,14,177,4,4,2,2,8,72.73,12,33.33,0.47,28,14,13,1,1,3,0,0,0,0,0,2,16,2,10,18,7,0,0,-
829,Luca Del Bel Belluz,CBJ,C,15,206.3,2,6,3,3,8,61.54,18,11.11,1.45,30,23,12,7,0,4,0,0,0,0,0,0,9,3,4,16,12,65,86,43.05
876,Victor Mancini,"NYR, VAN",D,31,474.46666666667,2,6,2,4,8,57.14,27,7.41,1.42,72,45,16,4,3,5,10,5,5,0,0,2,29,3,38,57,41,0,0,-
878,Ivan Ivan,COL,C,40,401.5,5,3,1,2,8,47.06,34,14.71,5.12,65,50,47,24,5,8,8,4,4,0,0,1,22,2,12,24,9,56,81,40.88
38,Luke Schenn,"NSH, WPG",D,76,1212.45,1,6,2,4,7,18.42,77,1.30,3.8,197,110,50,12,7,20,45,15,10,5,0,8,63,16,300,103,104,0,0,-
44,Travis Hamonic,OTT,D,59,1006.95,1,6,1,5,7,28.00,72,1.39,2.71,191,120,55,6,11,17,19,8,7,1,0,6,62,17,73,93,92,0,0,-
82,Justin Dowling,N.J,C,52,531.58333333333,2,5,2,3,7,58.33,34,5.88,4.4,86,62,43,21,3,10,6,3,3,0,0,3,29,14,51,56,22,158,169,48.32
87,Calle Jarnkrok,TOR,C,19,251.35,1,6,3,3,7,77.78,9,11.11,1.55,26,17,19,8,0,3,4,2,2,0,0,2,4,1,15,22,9,2,7,22.22
162,Luke Glendening,T.B,C,77,830.43333333333,4,3,3,0,7,41.18,51,7.84,6.09,97,74,52,31,5,7,10,5,5,0,0,7,19,6,105,74,58,502,379,56.98
165,Hampus Lindholm,BOS,D,17,354.55,3,4,2,2,7,46.67,35,8.57,1.7,81,47,21,5,2,9,4,2,2,0,0,3,30,14,5,33,17,0,0,-
262,Anthony Mantha,CGY,R,13,180.73333333333,4,3,2,1,7,58.33,15,26.67,2.24,35,28,20,11,4,3,11,4,3,1,0,3,7,3,15,8,8,3,6,33.33
278,Haydn Fleury,WPG,D,39,621.18333333333,0,7,4,3,7,53.85,38,0.00,1.29,105,59,27,0,3,7,6,3,3,0,0,0,39,3,48,72,56,0,0,-
310,Sam Lafferty,BUF,C,60,592.56666666667,4,3,1,2,7,63.64,50,8.00,4.48,93,68,43,22,6,10,28,14,14,0,0,8,22,5,88,51,16,79,77,50.64
347,Christian Fischer,"CBJ, DET",R,46,511.25,1,6,3,3,7,58.33,31,3.23,3.66,66,48,33,15,3,4,11,4,3,1,0,9,15,4,92,34,19,9,7,56.25
356,Parker Wotherspoon,BOS,D,55,991.6,1,6,5,1,7,25.00,44,2.27,1.36,103,64,25,2,5,6,10,5,5,0,0,10,68,15,74,98,66,0,0,-
364,Daniel Sprong,"N.J, SEA, VAN",R,30,365.91666666667,2,5,4,1,7,41.18,55,3.64,4,112,80,34,8,3,10,2,1,1,0,0,2,14,4,32,27,4,0,4,0.00
437,Noah Gregor,"OTT, S.J",L,52,577.51666666667,4,3,2,1,7,87.50,60,6.67,5.78,145,107,59,27,9,7,28,11,9,2,0,8,17,7,94,39,33,4,3,57.14
441,Jake Bean,CGY,D,64,965.7,2,5,2,3,7,24.14,71,2.82,2.96,170,111,43,7,6,14,8,4,4,0,0,4,46,27,22,84,43,0,0,-
450,Troy Stecher,EDM,D,66,915.65,3,4,3,1,7,24.14,55,5.45,2.05,133,81,31,5,10,10,27,11,10,1,0,3,50,11,35,114,66,0,0,-
494,Klim Kostin,S.J,C,35,373.68333333333,1,6,2,4,7,43.75,28,3.57,3.82,52,42,39,18,1,8,27,12,11,1,0,10,27,5,110,30,17,4,9,30.77
525,Jacob Bryson,BUF,D,48,690.83333333333,0,7,5,2,7,24.14,20,0.00,1.19,54,29,17,2,0,5,10,5,5,0,0,3,33,8,15,82,51,0,0,-
589,Tyler Tucker,STL,D,38,553.91666666667,3,4,1,3,7,35.00,33,9.09,1.11,98,52,27,1,6,12,55,17,10,7,0,10,28,13,81,80,39,0,0,-
667,Vladislav Kolyachonok,"PIT, UTA",D,35,455.6,2,5,3,2,7,53.85,20,10.00,1,57,33,15,3,1,5,10,4,4,0,0,0,32,6,27,43,31,0,0,-
723,Emil Andrae,PHI,D,42,728.48333333333,1,6,4,2,7,23.33,52,1.92,2.64,127,76,35,6,5,10,16,8,8,0,0,3,44,16,46,83,50,0,0,-
753,Mikael Pyyhtia,CBJ,L,47,568.68333333333,4,3,3,0,7,50.00,32,12.50,2.44,71,44,30,13,5,7,6,3,3,0,0,2,26,9,25,41,39,2,1,66.67
783,Colton Dach,CHI,C,25,303.2,2,5,2,3,7,58.33,27,7.41,3.9,47,39,28,19,2,5,17,7,6,1,0,8,12,13,86,27,12,7,5,58.33
789,Samuel Helenius,L.A,C,50,432.71666666667,4,3,1,2,7,63.64,29,13.79,3.1,64,48,32,16,1,5,25,8,5,3,0,4,22,4,150,31,16,129,149,46.40
800,Ville Koivunen,PIT,R,8,144.91666666667,0,7,3,4,7,70.00,15,0.00,2.22,30,22,20,9,0,7,4,2,2,0,0,2,6,3,1,11,8,1,0,100.00
872,Ethen Frank,WSH,C,24,259.78333333333,4,3,1,2,7,46.67,23,17.39,2.43,42,34,26,14,4,3,6,2,2,0,0,5,10,5,11,17,16,0,1,0.00
880,Max Sasson,VAN,C,29,299.6,3,4,4,0,7,63.64,31,9.68,3.34,46,37,22,15,1,4,0,0,0,0,0,3,12,6,18,30,13,47,63,42.73
7,Jack Johnson,CBJ,D,41,527.73333333333,0,6,2,4,6,30.00,23,0.00,0.8,60,37,11,2,0,5,2,1,1,0,0,1,19,8,21,35,35,0,0,-
24,Brendan Smith,DAL,D,32,422.68333333333,1,5,2,3,6,40.00,27,3.70,1.96,80,48,29,9,8,8,33,12,9,3,0,12,28,7,41,52,23,0,0,-
92,Jon Merrill,MIN,D,70,986.65,2,4,2,2,6,20.00,47,4.26,1.93,111,79,25,4,4,6,20,10,10,0,0,4,64,14,40,113,85,0,0,-
167,Phillip Di Giuseppe,VAN,L,20,231.3,1,5,2,3,6,75.00,23,4.35,1.77,38,28,17,9,2,5,4,2,2,0,0,4,4,1,54,11,6,1,4,20.00
175,Zemgus Girgensons,T.B,C,82,956.5,2,4,4,0,6,40.00,83,2.41,9.23,157,123,97,41,9,12,47,12,6,5,1,22,30,10,174,141,50,61,68,47.29
321,Matthew Highmore,OTT,C,41,457.76666666667,2,4,3,1,6,66.67,33,6.06,4.47,66,53,33,18,2,11,10,5,5,0,0,11,23,4,50,42,19,5,14,26.32
338,Anthony Richard,PHI,C,15,185.45,2,4,4,0,6,66.67,19,10.53,1.74,36,31,20,7,1,4,0,0,0,0,0,2,6,3,8,9,8,0,2,0.00
344,Jansen Harkins,ANA,C,62,677.5,2,4,1,3,6,46.15,49,4.08,4.68,93,66,45,18,6,14,21,9,8,1,0,16,38,15,136,43,41,117,102,53.42
375,Dennis Gilbert,"BUF, OTT",D,29,303.85,0,6,2,4,6,42.86,9,0.00,0.34,30,17,12,0,2,6,50,15,10,4,1,11,13,6,63,41,36,0,0,-
382,Derek Ryan,EDM,C,36,336.81666666667,1,5,2,3,6,66.67,20,5.00,2.18,42,31,27,10,0,2,12,5,5,0,0,2,11,9,25,29,21,151,99,60.40
517,Nick DeSimone,UTA,D,20,311.65,1,5,2,3,6,54.55,24,4.17,1.21,49,36,16,2,2,5,0,0,0,0,0,0,25,5,14,33,14,0,0,-
544,Oliver Wahlstrom,"BOS, NYI",R,43,439.71666666667,3,3,1,2,6,66.67,54,5.56,4.85,105,72,47,20,2,7,37,10,6,3,1,7,11,5,34,32,30,6,2,75.00
592,David Gustafsson,WPG,C,36,323.3,2,4,2,2,6,40.00,30,6.67,3.27,58,46,22,16,0,4,7,2,1,1,0,2,7,2,19,52,18,99,99,50.00
593,Linus Karlsson,VAN,C,23,251.46666666667,3,3,2,1,6,50.00,28,10.71,6,57,44,41,30,0,10,6,3,3,0,0,3,6,3,27,28,8,1,4,20.00
686,Nikita Nesterenko,ANA,C,20,206.33333333333,4,2,2,0,6,75.00,20,20.00,2.73,41,32,27,15,3,4,2,1,1,0,0,2,7,2,46,8,7,0,3,0.00
739,Landon Slaggert,CHI,L,33,406.15,2,4,4,0,6,46.15,34,5.88,4.7,60,47,48,32,3,8,23,9,8,1,0,4,12,9,25,29,13,0,1,0.00
759,Nils Aman,VAN,C,19,199.2,1,5,1,4,6,85.71,8,12.50,1.37,20,13,15,7,0,3,2,1,1,0,0,1,3,3,22,16,2,28,46,37.84
774,Scott Morrow,CAR,D,14,221.16666666667,1,5,2,3,6,42.86,23,4.35,1.22,61,35,22,2,4,5,0,0,0,0,0,1,21,5,3,17,16,0,0,-
810,Ethan Del Mastro,CHI,D,24,439.41666666667,2,4,3,1,6,40.00,19,10.53,0.89,50,25,15,2,2,6,6,3,3,0,0,2,25,6,40,46,21,0,0,-
819,Arber Xhekaj,MTL,D,70,1023.6833333333,1,5,2,3,6,20.69,69,1.45,3.18,175,108,38,5,6,14,118,38,29,6,3,18,59,16,180,79,63,0,0,-
844,Jonathan Lekkerimaki,VAN,R,24,300.13333333333,3,3,1,2,6,40.00,30,10.00,3.24,57,44,29,10,2,7,2,1,1,0,0,2,8,4,16,21,6,0,1,0.00
854,Jani Nyman,SEA,R,12,167.83333333333,3,3,1,2,6,75.00,22,13.64,2.73,48,41,34,9,2,5,4,2,2,0,0,2,5,2,13,9,7,1,0,100.00
905,Artyom Levshunov,CHI,D,18,365.68333333333,0,6,3,3,6,37.50,21,0.00,1.03,66,35,19,1,3,4,8,4,4,0,0,0,26,4,19,37,20,0,0,-
14,Erik Johnson,"COL, PHI",D,36,525.16666666667,2,3,0,3,5,31.25,37,5.41,1.89,78,53,17,2,3,13,15,6,5,1,0,2,26,16,59,41,26,0,0,-
63,Nick Leddy,STL,D,31,578.78333333333,2,3,1,2,5,17.24,21,9.52,0.71,50,29,14,2,1,8,2,1,1,0,0,3,43,11,5,28,26,0,0,-
189,Devin Shore,MIN,C,55,475.85,1,4,2,2,5,71.43,41,2.44,4.31,77,61,42,19,1,4,6,3,3,0,0,4,14,7,76,48,37,51,52,49.51
261,Curtis Lazar,N.J,C,48,507.21666666667,2,3,2,1,5,50.00,27,7.41,2.55,51,40,23,12,4,3,14,7,7,0,0,7,11,3,105,45,17,205,195,51.25
346,Oliver Kylington,"ANA, COL",D,19,233.6,1,4,4,0,5,71.43,6,16.67,0.45,31,13,8,0,2,3,8,4,4,0,0,0,15,5,3,16,18,0,0,-
386,Ryan Shea,PIT,D,39,652.31666666667,2,3,3,0,5,25.00,19,10.53,0.85,65,38,18,0,4,5,14,6,6,0,0,3,35,14,20,61,51,0,0,-
398,Rodrigo Abols,PHI,C,22,202.18333333333,2,3,1,2,5,71.43,25,8.00,3.31,48,35,29,15,2,5,4,2,2,0,0,2,14,4,25,18,12,66,47,58.41
399,Philippe Myers,TOR,D,36,584.28333333333,2,3,0,3,5,26.32,46,4.35,1.5,121,71,29,1,1,2,15,6,5,1,0,3,45,13,76,58,42,0,0,-
475,Vinni Lettieri,BOS,C,26,351.46666666667,3,2,2,0,5,55.56,52,5.77,6.37,95,81,52,23,5,13,6,3,3,0,0,4,6,10,60,23,16,11,11,50.00
476,Juuso Valimaki,UTA,D,43,711.78333333333,2,3,2,1,5,21.74,40,5.00,2.53,109,63,31,10,5,7,14,7,7,0,0,10,40,11,23,95,49,0,0,-
529,Olle Lycksell,PHI,R,19,225.93333333333,0,5,3,2,5,83.33,10,0.00,1.96,34,24,20,9,0,1,2,1,1,0,0,2,17,4,9,11,5,2,2,50.00
577,Nils Lundkvist,DAL,D,39,585.43333333333,0,5,3,2,5,23.81,52,0.00,1.86,145,80,41,1,1,12,20,10,10,0,0,2,31,6,23,74,34,0,0,-
581,Jordan Harris,CBJ,D,33,375.78333333333,1,4,3,1,5,35.71,15,6.67,0.65,39,25,10,1,2,7,6,3,3,0,0,4,16,4,23,64,35,0,0,-
758,Adam Wilsby,NSH,D,23,416.26666666667,1,4,1,3,5,29.41,33,3.03,1.41,75,44,22,7,5,7,6,3,3,0,0,3,24,10,18,42,17,0,0,-
817,Tyson Kozak,BUF,C,21,220.28333333333,3,2,1,1,5,71.43,11,27.27,2.99,35,27,23,15,1,6,2,1,1,0,0,3,10,2,26,18,23,67,78,46.21
832,Isaiah George,NYI,D,33,516.33333333333,1,4,0,4,5,27.78,26,3.85,0.74,74,37,24,2,3,5,6,3,3,0,0,0,26,6,14,81,34,0,0,-
849,Fraser Minten,"BOS, TOR",C,21,273.48333333333,3,2,2,0,5,62.50,24,12.50,3.25,52,42,34,17,4,4,2,1,1,0,0,0,10,2,48,19,10,77,91,45.83
855,Liam Ohgren,MIN,L,24,266.53333333333,2,3,2,1,5,55.56,32,6.25,3,66,49,31,14,2,5,2,1,1,0,0,1,9,5,25,18,12,0,0,-
859,Sam Rinzel,CHI,D,9,210.25,0,5,1,4,5,38.46,22,0.00,1.38,51,36,16,2,1,2,0,0,0,0,0,1,13,2,12,11,4,0,0,-
106,Erik Gudbranson,CBJ,D,16,284.33333333333,0,4,1,3,4,23.53,12,0.00,0.31,40,17,6,0,0,3,6,3,3,0,0,1,16,3,25,26,19,0,0,-
117,John Klingberg,EDM,D,11,189.68333333333,1,3,1,2,4,44.44,19,5.26,0.92,39,26,9,3,1,3,8,4,4,0,0,0,14,1,5,21,13,0,0,-
222,Hudson Fasching,NYI,R,43,476.51666666667,2,2,1,1,4,40.00,51,3.92,6.37,90,71,52,34,3,16,6,3,3,0,0,4,27,9,28,43,17,2,8,20.00
233,Ryan Graves,PIT,D,61,914.4,1,3,0,3,4,17.39,39,2.56,1.49,134,72,34,1,4,7,29,9,7,1,1,11,63,18,75,73,73,0,0,-
263,Ross Johnston,ANA,L,43,373.71666666667,1,3,2,1,4,57.14,9,11.11,1.47,31,21,18,15,1,5,72,22,16,4,2,10,18,3,134,25,20,0,2,0.00
422,Kieffer Bellows,NSH,L,19,202.81666666667,2,2,1,1,4,80.00,28,7.14,2.91,57,44,28,15,2,5,6,3,3,0,0,3,10,3,35,20,6,2,1,66.67
453,Lucas Carlsson,S.J,D,13,251.71666666667,1,3,2,1,4,36.36,15,6.67,0.96,40,25,15,2,2,3,14,6,6,0,0,0,6,6,4,15,14,0,0,-
479,Jonah Gadjovich,FLA,L,42,354.91666666667,4,0,0,0,4,57.14,43,9.30,6.09,89,70,47,25,3,12,60,13,5,6,2,12,4,2,126,27,21,3,2,60.00
643,Arthur Kaliyev,NYR,R,14,156.95,3,1,1,0,4,57.14,21,14.29,1.89,35,27,16,8,1,3,2,1,1,0,0,0,4,0,7,10,2,0,0,-
688,Louis Crevier,CHI,D,32,553.13333333333,3,1,0,1,4,21.05,28,10.71,0.94,72,46,16,2,5,5,10,5,5,0,0,2,29,4,70,58,49,0,0,-
747,Rory Kerins,CGY,C,5,61.133333333333,0,4,1,3,4,80.00,3,0.00,1.14,13,8,7,3,1,2,0,0,0,0,0,1,5,0,4,2,2,2,4,33.33
791,Logan Mailloux,MTL,D,7,113.43333333333,2,2,1,1,4,57.14,10,20.00,0.88,22,14,9,4,0,4,6,3,3,0,0,0,4,0,9,13,8,0,0,-
814,Zack Ostapchuk,"OTT, S.J",C,56,527.48333333333,1,3,1,2,4,50.00,26,3.85,3.36,53,44,31,15,0,3,45,14,10,3,1,13,19,8,110,56,21,137,145,48.58
851,Ivan Miroshnichenko,WSH,L,18,168.16666666667,1,3,2,1,4,57.14,14,7.14,3.17,32,25,19,7,2,1,0,0,0,0,0,1,11,3,28,12,8,0,0,-
853,Simon Nemec,N.J,D,27,404.48333333333,2,2,0,2,4,33.33,26,7.69,1.17,63,41,17,1,3,1,14,7,7,0,0,3,24,5,2,24,26,0,0,-
862,Jimmy Snuggerud,STL,R,7,108.26666666667,1,3,3,0,4,50.00,10,10.00,2.25,27,20,13,11,0,2,0,0,0,0,0,1,7,4,3,12,4,0,0,-
890,Oliver Moore,CHI,C,9,122.2,0,4,2,2,4,80.00,10,0.00,0.44,16,13,2,1,0,0,4,2,2,0,0,1,11,1,6,17,2,11,16,40.74
900,Nikolas Matinpalo,OTT,D,41,517,1,3,2,1,4,25.00,43,2.33,1.76,94,63,16,5,5,13,20,10,10,0,0,3,31,8,25,105,29,0,0,-
911,Juha Jaaska,CAR,L,18,160.71666666667,0,4,2,2,4,66.67,11,0.00,2.12,28,22,15,8,2,3,9,3,2,1,0,2,8,1,20,30,3,16,15,51.61
9,Marc-Edouard Vlasic,S.J,D,27,394.88333333333,1,2,1,1,3,33.33,20,5.00,0.64,52,32,13,1,1,4,2,1,1,0,0,1,26,4,4,35,40,0,0,-
68,Tyson Barrie,CGY,D,13,205.41666666667,1,2,2,0,3,37.50,19,5.26,0.64,40,25,8,0,0,5,4,2,2,0,0,1,11,2,10,12,12,0,0,-
76,Nicolas Deslauriers,PHI,L,31,236.7,2,1,0,1,3,37.50,25,8.00,3.16,55,43,29,14,1,6,15,3,0,3,0,3,9,1,85,9,9,1,2,33.33
101,Austin Watson,DET,L,13,102.1,3,0,0,0,3,60.00,13,23.08,1.04,23,18,8,4,1,0,17,3,1,1,1,1,5,1,36,15,2,2,1,66.67
139,Matt Nieto,PIT,L,32,392,1,2,1,1,3,50.00,31,3.23,2.55,46,40,26,15,2,2,4,2,2,0,0,1,19,1,39,35,20,2,3,40.00
215,Kyle Burroughs,L.A,D,33,258,0,3,3,0,3,23.08,6,0.00,0.13,28,13,6,0,0,4,39,15,12,3,0,4,19,3,42,46,14,0,0,-
296,Andreas Englund,"L.A, NSH",D,35,464.15,1,2,1,1,3,25.00,17,5.88,0.49,43,26,10,0,4,1,48,11,4,6,1,7,23,6,78,42,40,0,0,-
325,Dryden Hunt,CGY,L,5,58.283333333333,0,3,2,1,3,100.00,5,0.00,0.39,8,6,5,1,0,0,0,0,0,0,0,2,4,2,10,3,3,2,0,100.00
370,Mitchell Stephens,SEA,C,28,258.31666666667,1,2,2,0,3,75.00,19,5.26,2.93,37,30,20,9,3,4,6,3,3,0,0,2,8,1,25,10,4,104,90,53.61
459,Vincent Desharnais,"PIT, S.J, VAN",D,51,811.86666666667,0,3,0,3,3,13.64,28,0.00,0.93,92,58,18,1,5,2,45,18,15,3,0,12,40,3,87,63,83,0,0,-
471,Zack MacEwen,OTT,R,21,162.98333333333,2,1,0,1,3,60.00,26,7.69,1.86,47,35,20,6,4,6,21,6,3,3,0,6,7,3,49,17,7,6,8,42.86
477,Kailer Yamamoto,UTA,R,12,145.35,2,1,1,0,3,50.00,13,15.38,2.67,26,22,24,12,2,3,2,1,1,0,0,3,8,1,9,18,4,2,0,100.00
508,Pierre-Olivier Joseph,"PIT, STL",D,47,717.28333333333,0,3,2,1,3,15.79,42,0.00,1.62,122,62,27,4,2,13,45,16,14,1,1,6,53,20,36,57,36,0,0,-
569,Akil Thomas,L.A,C,25,247.85,1,2,1,1,3,60.00,20,5.00,2.64,36,27,17,10,0,4,7,2,1,1,0,3,5,1,42,31,12,18,23,43.90
599,Spencer Stastney,NSH,D,23,372.05,0,3,1,2,3,33.33,15,0.00,1.18,43,27,14,3,2,1,4,2,2,0,0,1,20,5,8,34,24,0,0,-
674,Valtteri Puustinen,PIT,R,13,128.6,2,1,1,0,3,75.00,8,25.00,1.31,16,11,9,6,0,1,4,2,2,0,0,1,4,3,10,5,5,0,0,-
683,Andre Lee,L.A,L,19,174.25,1,2,2,0,3,100.00,18,5.56,2.57,31,24,19,11,2,3,11,4,3,1,0,5,8,4,36,33,10,0,0,-
762,Matthew Kessel,STL,D,29,381.06666666667,0,3,2,1,3,21.43,17,0.00,0.86,55,30,23,5,3,4,10,5,5,0,0,4,31,6,21,33,23,0,0,-
768,Walker Duehr,"CGY, S.J",R,24,211.28333333333,2,1,1,0,3,75.00,15,13.33,2.08,33,24,16,9,0,1,0,0,0,0,0,0,12,0,49,17,15,1,8,11.11
802,Fabian Lysell,BOS,R,12,161.3,1,2,2,0,3,50.00,21,4.76,1.69,38,30,17,6,1,1,6,3,3,0,0,2,3,2,5,21,2,0,0,-
807,Nikita Chibrikov,WPG,R,4,45.616666666667,2,1,0,1,3,75.00,6,33.33,1.05,10,9,9,5,0,0,0,0,0,0,0,2,3,1,9,6,4,0,0,-
822,Marc McLaughlin,"BOS, N.J",C,14,128.88333333333,2,1,1,0,3,75.00,13,15.38,1.53,24,19,14,8,4,5,0,0,0,0,0,3,6,2,28,7,6,14,18,43.75
835,David Jiricek,"CBJ, MIN",D,12,145.41666666667,1,2,1,1,3,60.00,9,11.11,0.61,25,16,6,2,3,2,6,3,3,0,0,3,15,3,12,18,7,0,0,-
843,Maveric Lamoureux,UTA,D,15,241.86666666667,1,2,1,1,3,30.00,17,5.88,0.81,41,28,12,2,2,5,42,14,11,2,1,4,16,3,18,24,11,0,0,-
845,Cam Lund,S.J,C,11,126.56666666667,2,1,1,0,3,60.00,12,16.67,1.08,19,15,10,5,0,3,4,2,2,0,0,1,2,1,7,8,2,2,1,66.67
848,Rutger McGroarty,PIT,R,8,116.88333333333,1,2,2,0,3,50.00,11,9.09,1.41,22,20,15,7,1,1,0,0,0,0,0,1,5,2,12,9,5,0,1,0.00
857,Owen Pickering,PIT,D,25,370.38333333333,1,2,0,2,3,33.33,15,6.67,0.49,51,27,12,2,0,6,6,3,3,0,0,2,11,5,13,29,19,0,0,-
874,Elias Pettersson,VAN,D,28,359.01666666667,1,2,1,1,3,60.00,19,5.26,1.32,68,44,15,1,1,5,17,6,5,1,0,11,24,1,39,44,16,0,0,-
11,Ryan Reaves,TOR,R,35,273.01666666667,0,2,1,1,2,50.00,14,0.00,1.41,31,25,14,7,3,2,18,6,4,2,0,5,10,4,103,10,8,0,1,0.00
27,Robert Bortuzzo,UTA,D,17,186.2,0,2,1,1,2,66.67,8,0.00,0.57,18,13,8,1,1,2,22,8,6,2,0,5,18,0,21,24,26,0,0,-
48,Matt Martin,NYI,L,32,273.56666666667,0,2,2,0,2,40.00,17,0.00,2.18,39,34,18,10,0,4,10,2,0,2,0,3,15,3,82,10,19,8,7,53.33
51,Tyler Johnson,BOS,C,9,117.7,0,2,1,1,2,40.00,6,0.00,0.3,16,10,5,2,2,1,10,5,5,0,0,3,2,0,5,9,2,7,4,63.64
109,Dylan McIlrath,WSH,D,17,198.15,0,2,1,1,2,28.57,10,0.00,0.55,36,21,8,1,1,3,28,8,4,4,0,5,17,3,39,20,14,0,0,-
119,Michael Sgarbossa,WSH,C,3,28.016666666667,1,1,1,0,2,66.67,1,100.00,0.1,4,1,3,1,1,0,2,1,1,0,0,3,0,0,1,2,1,9,11,45.00
133,Mike Reilly,NYI,D,18,273.01666666667,0,2,2,0,2,28.57,31,0.00,1.39,68,51,13,1,1,7,2,1,1,0,0,2,16,2,3,19,14,0,0,-
207,Ben Hutton,VGK,D,11,145.56666666667,0,2,1,1,2,50.00,11,0.00,0.4,28,20,4,0,0,1,0,0,0,0,0,0,4,0,10,25,19,0,0,-
210,Liam O'Brien,UTA,C,28,260.31666666667,0,2,1,1,2,22.22,34,0.00,4.81,73,53,46,20,1,7,50,12,5,6,1,8,8,2,100,22,11,0,4,0.00
223,John Hayden,SEA,C,20,170.16666666667,1,1,1,0,2,40.00,20,5.00,3.05,38,30,20,13,1,6,31,6,3,1,2,5,5,3,44,9,19,31,27,53.45
297,Nicolas Aube-Kubel,"BUF, NYR",R,22,207.26666666667,1,1,1,0,2,50.00,18,5.56,2.51,42,32,24,11,3,3,19,8,7,1,0,5,12,9,40,21,3,5,3,62.50
426,Max Jones,"BOS, EDM",L,26,243.9,1,1,1,0,2,66.67,17,5.88,2,44,30,24,11,2,2,18,9,9,0,0,2,8,1,71,14,8,0,0,-
434,Keaton Middleton,COL,D,41,470.96666666667,0,2,1,1,2,15.38,44,0.00,1.73,111,71,19,1,2,4,28,11,9,2,0,5,27,7,69,31,37,0,0,-
535,Grant Hutton,NYI,D,13,175,0,2,1,1,2,40.00,10,0.00,0.67,20,15,6,1,4,1,4,2,2,0,0,0,8,2,13,6,12,0,0,-
580,Ty Smith,CAR,D,8,109.31666666667,1,1,1,0,2,40.00,14,7.14,0.67,26,19,9,1,1,4,4,2,2,0,0,0,3,1,2,5,5,0,0,-
605,Cole Reinhardt,OTT,L,17,139.43333333333,1,1,1,0,2,50.00,13,7.69,1.24,22,17,17,8,0,0,15,6,5,1,0,2,7,1,37,13,2,1,0,100.00
