,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
537,Mark Kastelic,BOS,C,61,654.9,5,9,6,3,14,66.67,67,7.46,6.94,119,93,65,33,14,12,106,29,17,10,2,23,26,12,217,71,39,199,167,54.37
547,Philipp Kurashev,CHI,C,51,699.68333333333,7,7,3,4,14,87.50,54,12.96,6.36,112,86,67,27,1,7,14,7,7,0,0,8,27,13,30,32,16,97,109,47.09
553,Mattias Samuelsson,BUF,D,62,1196.8166666667,4,10,6,4,14,25.45,52,7.69,1.66,106,78,24,4,9,9,22,7,6,0,1,6,55,11,104,100,93,0,0,-
574,Adam Boqvist,"FLA, NYI",D,35,492.51666666667,4,10,5,5,14,51.85,40,10.00,2.38,105,59,36,4,2,7,10,5,5,0,0,1,21,4,13,31,19,0,0,-
585,Ilya Lyubushkin,DAL,D,80,1390.95,1,13,4,9,14,26.42,51,1.96,2.5,146,95,29,5,7,11,32,16,16,0,0,8,109,20,84,138,136,0,0,-
616,Nico Sturm,"FLA, S.J",C,62,645.6,7,7,5,2,14,77.78,59,11.86,6.58,115,87,60,38,8,9,20,7,5,2,0,8,20,7,105,39,34,248,174,58.77
769,J.J. Moser,T.B,D,54,1018.05,2,12,4,8,14,23.73,48,4.17,2.69,146,81,45,10,12,12,22,11,11,0,0,4,45,23,34,97,70,0,0,-
831,Conor Geekie,T.B,C,52,640.91666666667,8,6,4,2,14,53.85,60,13.33,6.99,125,91,68,33,2,16,16,8,8,0,0,12,29,8,97,80,25,73,99,42.44
31,Max Pacioretty,TOR,L,37,499.41666666667,5,8,4,4,13,52.00,70,7.14,9.94,130,103,68,44,4,14,16,8,8,0,0,4,27,5,104,44,14,6,5,54.55
62,Dmitry Kulikov,FLA,D,70,1348.7833333333,4,9,2,7,13,22.81,64,6.25,3.21,173,101,35,5,8,14,38,15,14,0,1,11,78,32,114,99,71,0,0,-
77,Ben Chiarot,DET,D,81,1719.8166666667,4,9,7,2,13,20.63,109,3.67,3.75,261,162,72,7,11,22,69,28,26,1,1,18,86,26,127,139,142,0,0,-
219,Carson Soucy,"NYR, VAN",D,75,1343.6333333333,4,9,3,6,13,30.95,81,4.94,3.24,196,127,42,5,3,18,46,19,18,0,1,4,78,17,113,123,106,0,0,-
400,Ryan Lomberg,CGY,L,80,692.4,3,10,7,3,13,68.42,66,4.55,6.46,127,100,60,28,14,11,57,17,10,7,0,14,18,11,120,40,19,5,11,31.25
465,Tanner Jeannot,L.A,L,67,738.11666666667,7,6,2,4,13,52.00,56,12.50,8.3,129,98,80,47,7,20,79,25,16,9,0,20,36,3,209,80,37,8,10,44.44
