,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
458,Fedor Svechkov,22,NSH,C,70,4,13,17,-6,22,3,0,1,0,13,0,0,70,5.7,143,845:22,12:05,235,314,42.8,29,60,19,49,,svechfe01
459,Tyler Tucker,25,STL,D,69,3,14,17,-4,81,3,0,0,0,14,0,0,68,4.4,160,990:52,14:22,0,0,,51,100,13,58,,tuckety01
460,Jason Dickinson,30,2TM,C,64,7,10,17,-10,20,6,0,1,1,9,0,1,73,9.6,152,993:42,15:32,438,450,49.3,50,85,13,41,,dickija01
460,Jason Dickinson,30,CHI,C,47,6,7,13,-7,10,5,0,1,1,6,0,1,52,11.5,111,737:54,15:42,342,349,49.5,36,51,9,34,,dickija01
460,Jason Dickinson,30,EDM,C,17,1,3,4,-3,10,1,0,0,0,3,0,0,21,4.8,41,255:48,15:03,96,101,48.7,14,34,4,7,,dickija01
461,Connor Murphy,32,2TM,D,80,5,12,17,-2,71,5,0,0,0,11,0,1,70,7.1,166,1403:14,17:32,0,0,,138,90,17,65,,murphco02
461,Connor Murphy,32,CHI,D,60,4,9,13,-3,46,4,0,0,0,8,0,1,55,7.3,124,994:15,16:34,0,0,,87,62,13,50,,murphco02
461,Connor Murphy,32,EDM,D,20,1,3,4,1,25,1,0,0,0,3,0,0,15,6.7,42,408:59,20:27,0,0,,51,28,4,15,,murphco02
462,Phillip Danault,32,2TM,C,75,6,11,17,-3,26,5,0,1,1,10,0,1,91,6.6,178,1167:26,15:34,543,448,54.8,40,63,12,48,,danauph01
462,Phillip Danault,32,LAK,C,30,0,5,5,3,6,0,0,0,0,4,0,1,42,0.0,88,489:40,16:19,219,195,52.9,11,22,4,25,,danauph01
462,Phillip Danault,32,MTL,C,45,6,6,12,-6,20,5,0,1,1,6,0,0,49,12.2,90,677:46,15:04,324,253,56.2,29,41,8,23,,danauph01
463,Michael McCarron,30,2TM,RW,79,8,9,17,-16,93,6,0,2,1,9,0,0,109,7.3,203,1108:29,14:02,522,472,52.5,77,205,24,38,,mccarmi01
463,Michael McCarron,30,NSH,RW,59,5,7,12,-15,73,4,0,1,0,7,0,0,86,5.8,153,855:02,14:30,428,383,52.8,60,165,17,32,,mccarmi01
463,Michael McCarron,30,MIN,RW,20,3,2,5,-1,20,2,0,1,1,2,0,0,23,13.0,50,253:27,12:40,94,89,51.4,17,40,7,6,,mccarmi01
464,Zach Whitecloud,29,2TM,D,78,2,15,17,-6,30,2,0,0,0,15,0,0,67,3.0,191,1584:42,20:19,0,0,,140,124,15,73,,whiteza01
464,Zach Whitecloud,29,VEG,D,47,2,5,7,-8,20,2,0,0,0,5,0,0,33,6.1,105,882:04,18:46,0,0,,63,73,9,35,,whiteza01
464,Zach Whitecloud,29,CGY,D,31,0,10,10,2,10,0,0,0,0,10,0,0,34,0.0,86,702:38,22:40,0,0,,77,51,6,38,,whiteza01
465,Warren Foegele,29,2TM,LW,68,13,4,17,0,18,12,1,0,5,4,0,0,105,12.4,228,936:41,13:46,14,16,46.7,19,74,14,67,,foegewa01
465,Warren Foegele,29,LAK,LW,47,7,2,9,-6,14,7,0,0,1,2,0,0,78,9.0,166,693:21,14:45,9,15,37.5,10,49,11,52,,foegewa01
465,Warren Foegele,29,OTT,LW,21,6,2,8,6,4,5,1,0,4,2,0,0,27,22.2,62,243:20,11:35,5,1,83.3,9,25,3,15,,foegewa01
466,Jonny Brodzinski,32,NYR,C,55,6,10,16,-1,12,6,0,0,0,8,2,0,63,9.5,153,614:27,11:10,44,39,53.0,19,47,14,20,,brodzjo01
467,Tyson Jost,27,NSH,C,69,8,8,16,-21,30,7,0,1,0,7,0,1,95,8.4,172,856:32,12:25,45,67,40.2,31,67,22,36,,jostty01
468,Kaedan Korczak,25,VEG,D,78,3,13,16,6,26,3,0,0,0,13,0,0,60,5.0,155,1245:31,15:58,0,0,,95,102,11,90,,korczka01
469,Hendrix Lapierre,23,WSH,C,74,4,12,16,0,31,4,0,0,0,12,0,0,53,7.5,104,653:43,8:50,120,181,39.9,22,49,7,34,,lapiehe01
470,Jacob Middleton,30,MIN,D,75,2,14,16,2,76,2,0,0,0,14,0,0,62,3.2,147,1312:56,17:30,0,0,,117,87,10,46,,middlja01
471,Adam Pelech,31,NYI,D,82,4,12,16,4,50,3,0,1,2,11,0,1,122,3.3,319,1713:02,20:53,0,0,,124,66,31,70,,pelecad01
472,Jonas Siegenthaler,28,NJD,D,82,0,16,16,-9,48,0,0,0,0,14,0,2,60,0.0,166,1597:12,19:29,0,0,,135,92,21,90,,siegejo01
473,Alex Steeves,26,BOS,F,43,9,7,16,6,34,7,1,1,0,5,2,0,55,16.4,109,512:54,11:56,3,4,42.9,26,144,9,23,,steeval02
474,Adam Wilsby,25,NSH,D,58,1,15,16,2,29,1,0,0,0,15,0,0,59,1.7,136,986:29,17:01,0,0,,47,28,15,47,,wilsbad01
475,Andrew Mangiapane,29,2TM,LW,62,8,8,16,-21,42,8,0,0,1,8,0,0,58,13.8,131,774:02,12:29,3,5,37.5,28,65,8,36,,mangian01
475,Andrew Mangiapane,29,EDM,LW,52,7,7,14,-19,36,7,0,0,1,7,0,0,51,13.7,111,655:07,12:36,2,4,33.3,19,51,7,33,,mangian01
475,Andrew Mangiapane,29,CHI,LW,10,1,1,2,-2,6,1,0,0,0,1,0,0,7,14.3,20,118:55,11:54,1,1,50.0,9,14,1,3,,mangian01
476,Sam Carrick,33,2TM,C,73,9,7,16,2,65,9,0,0,1,6,0,1,75,12.0,144,764:20,10:28,296,244,54.8,35,106,13,29,,carrisa01
476,Sam Carrick,33,NYR,C,60,4,6,10,-2,53,4,0,0,0,5,0,1,56,7.1,112,624:30,10:25,214,183,53.9,29,86,10,24,,carrisa01
476,Sam Carrick,33,BUF,C,13,5,1,6,4,12,5,0,0,1,1,0,0,19,26.3,32,139:50,10:45,82,61,57.3,6,20,3,5,,carrisa01
477,Uvis Balinskis,29,FLA,D,54,5,10,15,-13,30,2,3,0,1,7,3,0,66,7.6,131,884:03,16:22,0,0,,42,71,23,33,,balinuv01
478,Colin Blackwell,32,DAL,C,70,4,11,15,-2,40,4,0,0,1,11,0,0,61,6.6,145,832:29,11:54,124,163,43.2,37,112,17,31,,blackco01
479,William Borgen,29,NYR,D,75,5,10,15,3,41,5,0,0,2,10,0,0,69,7.2,181,1353:08,18:03,0,0,,99,111,17,58,,borgewi01
480,Ben Chiarot,34,DET,D,82,5,10,15,-9,75,5,0,0,0,10,0,0,103,4.9,260,1708:36,20:50,0,0,,160,170,25,74,,chiarbe01
481,Paul Cotter,26,NJD,C,79,9,6,15,-24,19,9,0,0,2,5,1,0,61,14.8,144,843:33,10:41,68,64,51.5,22,192,7,27,,cottepa01
482,Kirby Dach,25,MTL,C,37,8,7,15,-2,31,8,0,0,0,5,2,0,47,17.0,92,505:19,13:39,48,68,41.4,30,53,11,17,,dachki01
483,Brenden Dillon,35,NJD,D,82,3,12,15,-13,89,3,0,0,2,11,0,1,55,5.5,129,1475:48,18:00,0,0,,103,202,10,56,,dillobr01
484,Lars Eller,36,OTT,C,68,5,10,15,5,12,4,0,1,2,10,0,0,67,7.5,120,778:25,11:27,332,283,54.0,34,50,12,35,,ellerla01
485,Nicolas Hague,27,NSH,D,62,3,12,15,-10,47,3,0,0,1,11,0,1,56,5.4,166,1217:04,19:38,0,0,,54,76,15,45,,hagueni01
486,Drew Helleson,24,ANA,D,60,2,13,15,-4,20,2,0,0,0,11,0,2,39,5.1,127,1017:53,16:58,0,0,,79,63,25,43,,helledr01
487,Adam Henrique,35,EDM,C,65,3,12,15,-12,18,3,0,0,0,7,3,2,91,3.3,164,860:21,13:14,327,278,54.0,75,34,14,36,,henriad01
488,Ben Hutton,32,VEG,D,55,6,9,15,2,19,6,0,0,1,9,0,0,71,8.5,148,802:15,14:35,0,0,,55,28,19,42,,huttobe01
489,Dominic James,23,TBL,C,43,7,8,15,4,8,7,0,0,0,8,0,0,56,12.5,113,526:11,12:14,139,137,50.4,13,58,14,41,,jamesdo01
490,Henri Jokiharju,26,BOS,D,41,2,13,15,2,14,2,0,0,1,11,2,0,40,5.0,109,729:59,17:48,0,0,,37,27,6,48,,jokihhe01
491,Nick Lardis,20,CHI,LW,41,10,5,15,-18,10,8,2,0,0,4,1,0,57,17.5,121,519:31,12:40,1,1,50.0,12,57,5,19,,lardini01
492,Scott Mayfield,33,NYI,D,80,2,13,15,-11,83,2,0,0,0,13,0,0,71,2.8,187,1317:41,16:28,0,0,,82,75,20,68,,mayfisc01
493,Ben Meyers,27,SEA,F,52,7,8,15,-12,16,7,0,0,2,8,0,0,61,11.5,115,620:47,11:56,185,151,55.1,14,66,11,29,,meyerbe01
494,Jamie Oleksiak,33,SEA,D,78,5,10,15,9,36,5,0,0,2,10,0,0,77,6.5,165,1320:18,16:56,0,0,,106,112,19,71,,oleksja01
495,Nick Paul,30,TBL,LW,51,7,8,15,-15,32,6,1,0,1,6,2,0,68,10.3,143,697:44,13:41,300,257,53.9,22,75,9,31,,paulni01
496,Olli Määttä,31,2TM,D,43,2,13,15,-6,4,2,0,0,1,13,0,0,34,5.9,69,740:11,17:13,0,0,,62,3,13,50,,maattol01
496,Olli Määttä,31,UTA,D,22,0,1,1,-5,2,0,0,0,0,1,0,0,10,0.0,23,267:43,12:10,0,0,,17,1,5,16,,maattol01
496,Olli Määttä,31,CGY,D,21,2,12,14,-1,2,2,0,0,1,12,0,0,24,8.3,46,472:28,22:30,0,0,,45,2,8,34,,maattol01
497,Tanner Pearson,33,2TM,LW,56,7,8,15,9,27,7,0,0,2,8,0,0,52,13.5,102,606:37,10:50,4,16,20.0,27,74,6,28,,pearsta01
497,Tanner Pearson,33,WPG,LW,52,7,6,13,7,25,7,0,0,2,6,0,0,49,14.3,95,566:00,10:53,4,16,20.0,26,68,6,26,,pearsta01
497,Tanner Pearson,33,BUF,LW,4,0,2,2,2,2,0,0,0,0,2,0,0,3,0.0,7,40:37,10:09,0,0,,1,6,0,2,,pearsta01
498,Nick Foligno,38,2TM,LW,54,4,11,15,2,44,4,0,0,0,7,2,2,49,8.2,79,683:05,12:39,204,209,49.4,33,128,7,30,,foligni01
498,Nick Foligno,38,CHI,LW,37,3,8,11,2,27,3,0,0,0,5,2,1,30,10.0,51,473:43,12:48,162,166,49.4,26,87,4,20,,foligni01
498,Nick Foligno,38,MIN,LW,17,1,3,4,0,17,1,0,0,0,2,0,1,19,5.3,28,209:22,12:19,42,43,49.4,7,41,3,10,,foligni01
499,Ondřej Palát,34,2TM,LW,80,5,10,15,-11,14,4,1,0,0,9,1,0,83,6.0,169,1025:35,12:49,7,9,43.8,67,133,12,41,,palaton01
499,Ondřej Palát,34,NJD,LW,51,4,6,10,-5,12,4,0,0,0,5,1,0,53,7.5,108,649:58,12:45,6,8,42.9,41,89,7,26,,palaton01
499,Ondřej Palát,34,NYI,LW,29,1,4,5,-6,2,0,1,0,0,4,0,0,30,3.3,61,375:37,12:57,1,1,50.0,26,44,5,15,,palaton01
500,Cole Reinhardt,25,2TM,LW,59,9,6,15,-2,21,9,0,0,2,6,0,0,49,18.4,106,628:18,10:39,7,4,63.6,16,129,5,28,,reinhco01
500,Cole Reinhardt,25,VEG,LW,44,3,4,7,-6,19,3,0,0,0,4,0,0,34,8.8,74,430:42,9:47,6,4,60.0,8,84,3,20,,reinhco01
500,Cole Reinhardt,25,FLA,LW,15,6,2,8,4,2,6,0,0,2,2,0,0,15,40.0,32,197:36,13:10,1,0,100.0,8,45,2,8,,reinhco01
501,Mason Appleton,30,DET,C,65,6,8,14,-4,44,6,0,0,2,7,0,1,63,9.5,114,879:04,13:31,6,16,27.3,29,89,1,22,,applema01
502,Sam Dickinson,19,SJS,D,72,1,13,14,-5,22,1,0,0,0,13,0,0,72,1.4,199,1206:26,16:45,0,0,,70,74,20,83,,dickisa01
503,Nikita Grebenkin,22,PHI,RW,55,4,10,14,-7,46,4,0,0,0,10,0,0,32,12.5,73,620:46,11:17,4,2,66.7,17,86,13,35,,grebeni01
504,Ross Johnston,31,ANA,LW,62,3,11,14,0,107,3,0,0,0,11,0,0,33,9.1,72,604:07,9:45,5,6,45.5,16,192,5,34,,johnsro02
505,Beck Malenstyn,27,BUF,LW,81,7,7,14,0,38,6,0,1,0,7,0,0,72,9.7,138,910:46,11:15,10,15,40.0,75,282,12,35,,malenbe01
506,Vladislav Namestnikov,33,WPG,C,60,8,6,14,-13,28,6,2,0,1,6,0,0,76,10.5,148,826:36,13:47,92,133,40.9,37,76,10,46,,namesvl01
507,Andrew Peeke,27,BOS,D,77,5,9,14,-12,22,5,0,0,0,9,0,0,82,6.1,211,1492:41,19:23,0,0,,135,105,10,59,,peekean01
508,Michael Rasmussen,26,DET,C,64,6,8,14,-10,8,5,0,1,0,8,0,0,65,9.2,133,809:36,12:39,131,155,45.8,63,64,10,28,,rasmumi01
509,Aatu Räty,23,VAN,C,66,4,10,14,-4,22,4,0,0,1,10,0,0,65,6.2,142,793:24,12:01,470,307,60.5,16,165,10,29,,ratyaa01
510,Sam Rinzel,21,CHI,D,54,4,10,14,-7,44,4,0,0,1,9,1,0,83,4.8,200,986:43,18:16,0,0,,63,49,13,67,,rinzesa01
511,Rasmus Ristolainen,31,PHI,D,44,1,13,14,10,16,1,0,0,0,10,1,2,58,1.7,142,940:59,21:23,0,0,,63,48,12,39,,ristora01
512,Dylan Samberg,27,WPG,D,66,1,13,14,5,14,1,0,0,0,13,0,0,87,1.1,208,1440:14,21:49,0,0,,115,53,27,66,,sambedy01
513,Troy Stecher,31,2TM,D,64,3,11,14,-8,20,3,0,0,1,11,0,0,64,4.7,172,1227:59,19:11,0,0,,79,30,13,71,,stechtr01
513,Troy Stecher,31,EDM,D,6,0,0,0,0,8,0,0,0,0,0,0,0,3,0.0,9,81:44,13:37,0,0,,3,2,2,8,,stechtr01
513,Troy Stecher,31,TOR,D,58,3,11,14,-8,12,3,0,0,1,11,0,0,61,4.9,163,1146:15,19:46,0,0,,76,28,11,63,,stechtr01
514,Alex Turcotte,24,LAK,C,62,3,11,14,-8,21,3,0,0,0,11,0,0,67,4.5,138,671:11,10:50,257,218,54.1,33,51,14,27,,turcoal02
515,Trevor van Riemsdyk,34,WSH,D,68,3,11,14,6,18,3,0,0,2,11,0,0,44,6.8,104,1104:18,16:14,0,0,,97,12,17,46,,vanritr01
516,Miles Wood,30,CBJ,LW,54,8,6,14,-10,26,8,0,0,1,5,0,1,71,11.3,132,640:15,11:51,4,11,26.7,19,63,5,34,,woodmi01
517,Emil Andrae,23,PHI,D,61,2,11,13,15,22,2,0,0,0,10,1,0,36,5.6,117,935:34,15:20,2,1,66.7,58,68,7,46,,andraem01
518,Jonathan Aspirot,26,BOS,D,61,3,10,13,30,43,3,0,0,0,9,1,0,47,6.4,129,1021:08,16:44,0,0,,83,86,10,56,,aspirjo01
519,Jesper Boqvist,27,FLA,C,73,4,9,13,-11,16,4,0,0,1,8,1,0,64,6.3,143,863:31,11:50,37,85,30.3,33,141,9,55,,boqvije01
520,Gavin Brindley,21,COL,C,56,6,7,13,2,8,6,0,0,4,7,0,0,62,9.7,109,534:53,9:33,13,21,38.2,15,37,5,20,,brindga01
521,Marcus Foligno,34,MIN,LW,56,8,5,13,-12,67,6,2,0,0,5,0,0,65,12.3,106,719:20,12:51,9,11,45.0,47,180,11,29,,foligma01
522,Carl Grundström,28,PHI,RW,47,9,4,13,7,19,9,0,0,1,3,0,1,56,16.1,111,557:01,11:51,7,18,28.0,23,139,7,21,,grundca01
523,Radko Gudas,35,ANA,D,56,2,11,13,-2,67,2,0,0,0,11,0,0,63,3.2,169,906:15,16:11,0,0,,87,164,8,44,,gudasra01
524,Alexander Kerfoot,31,UTA,C,34,7,6,13,0,23,7,0,0,0,5,0,1,28,25.0,63,434:44,12:47,115,110,51.1,27,30,6,26,,kerfoal01
525,Jeremy Lauzon,28,VEG,D,68,1,12,13,-3,89,1,0,0,0,12,0,0,73,1.4,176,1168:18,17:11,0,0,,97,251,11,45,,lauzoje01
526,Logan Mailloux,22,STL,D,67,5,8,13,-10,48,5,0,0,1,6,2,0,80,6.3,189,1123:33,16:46,0,0,,56,93,18,68,,mailllo01
527,Nicklaus Perbix,27,NSH,D,79,3,10,13,-14,20,3,0,0,0,8,0,2,80,3.8,182,1509:51,19:07,0,0,,95,31,23,96,,perbini01
528,Jeff Skinner,33,SJS,LW,32,6,7,13,-8,14,4,2,0,0,5,2,0,56,10.7,117,394:57,12:21,3,8,27.3,11,17,10,27,,skinnje01
529,Elmer Söderblom,24,2TM,RW,59,7,6,13,-1,23,7,0,0,1,6,0,0,69,10.1,145,655:29,11:07,3,5,37.5,18,99,13,46,,soderel01
529,Elmer Söderblom,24,DET,RW,39,2,1,3,-4,12,2,0,0,1,1,0,0,42,4.8,96,416:22,10:41,2,4,33.3,11,64,7,29,,soderel01
529,Elmer Söderblom,24,PIT,RW,20,5,5,10,3,11,5,0,0,0,5,0,0,27,18.5,49,239:07,11:57,1,1,50.0,7,35,6,17,,soderel01
530,Colton Dach,23,2TM,C,61,5,8,13,-15,52,4,1,0,1,7,1,0,58,8.6,136,700:09,11:29,26,45,36.6,29,219,14,31,,dachco01
530,Colton Dach,23,CHI,C,53,3,6,9,-15,47,2,1,0,1,5,1,0,52,5.8,113,619:00,11:41,26,45,36.6,27,189,13,27,,dachco01
530,Colton Dach,23,EDM,C,8,2,2,4,0,5,2,0,0,0,2,0,0,6,33.3,23,81:09,10:09,0,0,,2,30,1,4,,dachco01
531,Oskar Back,25,DAL,C,72,5,7,12,10,10,4,0,1,1,7,0,0,42,11.9,82,889:50,12:22,30,40,42.9,37,29,15,38,,backos01
532,Ty Emberson,25,EDM,D,72,2,10,12,-1,23,2,0,0,1,10,0,0,46,4.3,111,1117:28,15:31,0,0,,106,107,13,53,,emberty01
533,Barclay Goodrow,32,SJS,RW,82,5,7,12,-18,73,5,0,0,0,7,0,0,66,7.6,123,930:30,11:21,16,24,40.0,60,141,11,37,,goodrba01
534,Matt Grzelcyk,32,CHI,D,69,0,12,12,-9,32,0,0,0,0,8,3,1,68,0.0,159,1170:59,16:58,0,0,,54,28,21,46,,grzelma01
535,Yan Kuznetsov,23,CGY,D,57,4,8,12,-8,28,4,0,0,1,6,0,2,64,6.3,135,1144:50,20:05,0,0,,102,79,9,61,,kuzneya01
536,Isac Lundeström,26,CBJ,C,68,4,8,12,-2,4,4,0,0,0,8,0,0,53,7.5,88,842:12,12:23,134,123,52.1,35,35,8,38,,lundeis01
537,Emil Martinsen Lilleberg,24,TBL,D,50,4,8,12,15,61,4,0,0,2,8,0,0,43,9.3,98,865:24,17:18,0,0,,45,96,6,42,,martiem01
538,Brayden McNabb,35,VEG,D,63,5,7,12,2,26,5,0,0,1,7,0,0,81,6.2,208,1292:58,20:31,0,0,,142,110,16,50,,mcnabbr01
539,Ian Moore,24,ANA,D,67,4,8,12,-14,24,4,0,0,1,7,0,1,66,6.1,165,915:44,13:40,0,2,0.0,80,42,21,40,,mooreia01
540,Shakir Mukhamadullin,24,SJS,D,50,5,7,12,-3,22,5,0,0,1,7,0,0,49,10.2,114,857:07,17:09,0,0,,63,35,7,61,,mukhash01
541,Gustav Nyquist,36,WPG,RW,51,1,11,12,-8,10,1,0,0,0,6,5,0,62,1.6,115,646:37,12:41,8,12,40.0,19,28,12,25,,nyquigu01
542,Neal Pionk,30,WPG,D,51,3,9,12,1,37,2,1,0,1,8,1,0,97,3.1,220,1158:12,22:43,0,0,,75,111,15,56,,pionkne01
543,Jayden Struble,24,MTL,D,59,2,10,12,4,58,2,0,0,0,10,0,0,26,7.7,89,827:04,14:01,0,0,,32,115,13,52,,strubja01
544,Danton Heinen,30,2TM,C,46,6,6,12,7,16,6,0,0,0,6,0,0,44,13.6,96,521:38,11:20,9,16,36.0,24,54,9,21,,heineda01
544,Danton Heinen,30,PIT,C,13,1,1,2,1,8,1,0,0,0,1,0,0,14,7.1,35,151:41,11:40,5,11,31.3,10,16,2,4,,heineda01
544,Danton Heinen,30,CBJ,C,33,5,5,10,6,8,5,0,0,0,5,0,0,30,16.7,61,369:57,11:13,4,5,44.4,14,38,7,17,,heineda01
545,Cole Smith,30,2TM,F,63,8,4,12,-7,40,8,0,0,2,3,0,1,69,11.6,145,836:45,13:17,6,14,30.0,18,173,14,21,,smithco02
545,Cole Smith,30,NSH,F,42,6,4,10,-7,31,6,0,0,1,3,0,1,51,11.8,104,592:36,14:07,4,12,25.0,12,119,13,15,,smithco02
545,Cole Smith,30,VEG,F,21,2,0,2,0,9,2,0,0,1,0,0,0,18,11.1,41,244:09,11:38,2,2,50.0,6,54,1,6,,smithco02
546,Carson Soucy,31,2TM,D,76,5,7,12,-6,38,5,0,0,0,7,0,0,62,8.1,159,1255:28,16:31,0,0,,91,105,20,77,,soucyca01
546,Carson Soucy,31,NYR,D,46,3,5,8,4,18,3,0,0,0,5,0,0,39,7.7,94,791:51,17:13,0,0,,66,71,14,49,,soucyca01
546,Carson Soucy,31,NYI,D,30,2,2,4,-10,20,2,0,0,0,2,0,0,23,8.7,65,463:37,15:27,0,0,,25,34,6,28,,soucyca01
547,Brett Kulak,32,3TM,D,83,1,11,12,-4,38,1,0,0,0,11,0,0,95,1.1,222,1573:45,18:58,0,0,,108,19,14,64,,kulakbr01
547,Brett Kulak,32,EDM,D,31,0,2,2,-7,10,0,0,0,0,2,0,0,33,0.0,87,548:52,17:42,0,0,,38,4,5,18,,kulakbr01
547,Brett Kulak,32,PIT,D,25,1,6,7,2,18,1,0,0,0,6,0,0,29,3.4,68,508:08,20:20,0,0,,39,5,3,22,,kulakbr01
547,Brett Kulak,32,COL,D,27,0,3,3,1,10,0,0,0,0,3,0,0,33,0.0,67,516:45,19:08,0,0,,31,10,6,24,,kulakbr01
548,Erik Černák,28,TBL,D,61,3,8,11,3,74,3,0,0,1,7,0,1,53,5.7,123,1074:33,17:37,0,0,,99,112,15,55,,cernaer01
549,Ty Dellandrea,25,SJS,C,46,2,9,11,-18,22,1,0,1,0,8,0,1,50,4.0,93,652:43,14:11,280,259,51.9,37,130,7,25,,dellaty01
550,Dante Fabbro,27,CBJ,D,74,5,6,11,-16,33,5,0,0,1,6,0,0,68,7.4,174,1225:51,16:34,0,0,,120,65,20,59,,fabbrda01
551,Kaiden Guhle,24,MTL,D,39,2,9,11,5,41,2,0,0,2,9,0,0,39,5.1,106,759:03,19:28,0,0,,63,86,21,36,,guhleka01
552,Stephen Halliday,23,OTT,C,30,4,7,11,0,2,4,0,0,0,4,3,0,34,11.8,58,255:19,8:31,26,41,38.8,8,30,2,16,,hallist01
553,Albert Johansson,25,DET,D,82,3,8,11,-18,16,2,0,1,1,7,0,1,61,4.9,173,1307:04,15:56,0,0,,93,56,23,57,,johanal01
554,Mathieu Joseph,28,2TM,RW,51,2,9,11,-7,9,1,0,1,1,9,0,0,36,5.6,86,611:22,11:59,5,15,25.0,34,115,14,25,,josepma01
554,Mathieu Joseph,28,STL,RW,39,2,9,11,-5,4,1,0,1,1,9,0,0,29,6.9,67,494:37,12:41,4,11,26.7,28,85,10,23,,josepma01
554,Mathieu Joseph,28,LAK,RW,12,0,0,0,-2,5,0,0,0,0,0,0,0,7,0.0,19,116:45,9:44,1,4,20.0,6,30,4,2,,josepma01
555,Timothy Liljegren,26,2TM,D,47,1,10,11,-7,29,1,0,0,0,8,2,0,39,2.6,113,933:02,19:51,0,0,,90,38,9,50,,liljeti01
555,Timothy Liljegren,26,SJS,D,43,1,10,11,-7,27,1,0,0,0,8,2,0,34,2.9,98,865:23,20:08,0,0,,83,36,6,47,,liljeti01
555,Timothy Liljegren,26,WSH,D,4,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,15,67:39,16:55,0,0,,7,2,3,3,,liljeti01
556,Nils Lundkvist,25,DAL,D,52,3,8,11,12,16,3,0,0,0,8,0,0,46,6.5,128,857:02,16:29,0,0,,48,26,8,49,,lundkni01
557,Niko Mikkola,29,FLA,D,68,3,8,11,-1,47,3,0,0,0,8,0,0,68,4.4,173,1384:11,20:21,0,0,,81,116,16,73,,mikkoni01
558,Colton Sissons,32,VEG,C,66,6,5,11,-11,28,6,0,0,2,3,2,0,74,8.1,136,824:49,12:30,347,267,56.5,46,93,12,30,,sissoco01
559,Nico Sturm,30,MIN,C,49,5,6,11,0,16,4,0,1,0,6,0,0,38,13.2,73,536:10,10:57,205,167,55.1,19,55,10,20,,sturmni01
560,Alexey Toropchenko,26,STL,RW,65,4,7,11,-11,28,3,0,1,0,6,0,1,68,5.9,113,779:24,11:59,4,2,66.7,56,132,8,30,,toropal01
561,Ryan Ufko,22,NSH,D,18,2,9,11,0,6,2,0,0,1,7,2,0,11,18.2,33,249:54,13:53,0,0,,13,10,3,12,,ufkory01
562,Nathan Walker,31,STL,C,46,4,7,11,-9,28,4,0,0,1,7,0,0,38,10.5,71,551:32,11:59,56,47,54.4,35,179,3,26,,walkena01
563,Tyler Myers,35,2TM,D,73,1,10,11,-23,52,1,0,0,0,10,0,0,88,1.1,194,1424:45,19:31,0,0,,121,85,20,78,,myersty01
563,Tyler Myers,35,VAN,D,57,1,7,8,-25,40,1,0,0,0,7,0,0,71,1.4,164,1152:12,20:13,0,0,,91,65,20,60,,myersty01
563,Tyler Myers,35,DAL,D,16,0,3,3,2,12,0,0,0,0,3,0,0,17,0.0,30,272:33,17:02,0,0,,30,20,0,18,,myersty01
564,Rodrigo Abols,30,PHI,C,42,3,7,10,-1,22,2,0,1,0,6,0,1,43,7.0,88,441:02,10:30,158,145,52.1,24,49,11,14,,abolsro01
565,Zakhar Bardakov,24,COL,C,60,1,9,10,6,14,1,0,0,0,9,0,0,35,2.9,79,432:16,7:12,73,99,42.4,22,50,7,27,,bardaza01
566,Maxwell Crozier,25,TBL,D,35,1,9,10,7,40,1,0,0,0,8,0,1,46,2.2,101,560:24,16:01,0,0,,31,39,5,21,,crozima01
567,Cole Hutson,19,WSH,D,14,3,7,10,-3,8,2,1,0,0,2,5,0,22,13.6,52,244:24,17:27,0,0,,6,16,8,13,,hutsoco01
568,Noah Juulsen,28,PHI,D,52,1,9,10,3,15,1,0,0,0,9,0,0,26,3.8,84,718:26,13:49,0,0,,45,104,10,53,,juulsno01
569,Luke Kunin,28,FLA,C,62,4,6,10,-6,47,4,0,0,1,6,0,0,49,8.2,102,600:10,9:41,219,224,49.4,47,123,3,22,,kuninlu01
570,Porter Martone,19,PHI,RW,9,4,6,10,4,6,2,2,0,1,4,2,0,32,12.5,51,153:22,17:02,1,2,33.3,2,16,0,4,,martopo01
571,Joel Nystrom,23,CAR,D,38,1,9,10,6,6,1,0,0,0,9,0,0,43,2.3,121,577:04,15:11,0,0,,22,10,5,32,,nystrjo01
572,Alexander Petrovic,33,DAL,D,54,2,8,10,2,47,2,0,0,0,8,0,0,57,3.5,121,829:04,15:21,0,0,,77,88,9,45,,petroal01
573,Elias Pettersson,21,VAN,D,70,3,7,10,-16,39,3,0,0,0,7,0,0,46,6.5,135,1048:31,14:59,0,0,,85,136,14,68,,petteel02
574,Pavol Regenda,26,SJS,F,24,9,1,10,-4,20,5,4,0,2,1,0,0,42,21.4,66,320:22,13:21,11,6,64.7,6,59,3,13,,regenpa01
575,Nick Seeler,32,PHI,D,80,4,6,10,1,38,4,0,0,0,6,0,0,94,4.3,251,1414:53,17:41,0,0,,149,126,13,58,,seeleni01
