,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
384,Mark Kastelic,26,BOS,C,82,12,10,22,5,140,11,0,1,4,9,1,0,100,12.0,219,1034:55,12:37,343,221,60.8,64,215,30,42,,kastema01
385,Sean Kuraly,33,BOS,C,82,6,16,22,0,41,6,0,0,1,16,0,0,110,5.5,198,1093:00,13:20,338,324,51.1,47,87,18,57,,kuralse01
386,Pavel Mintyukov,22,ANA,D,73,8,14,22,-3,17,8,0,0,2,11,2,1,79,10.1,204,1345:03,18:26,0,0,,112,39,18,66,,mintypa01
387,Nate Schmidt,34,UTA,D,82,5,17,22,31,22,5,0,0,1,17,0,0,86,5.8,232,1615:16,19:42,0,0,,95,78,14,75,,schmina01
388,Jared Spurgeon,36,MIN,D,79,6,16,22,2,14,4,2,0,2,12,4,0,90,6.7,204,1547:45,19:36,0,0,,137,82,15,56,,spurgja01
389,Nikita Zadorov,30,BOS,D,81,2,20,22,18,152,2,0,0,1,20,0,0,107,1.9,263,1691:24,20:53,0,0,,102,196,33,94,,zadorni01
390,Olen Zellweger,22,ANA,D,76,7,15,22,4,34,6,1,0,1,13,2,0,119,5.9,302,1290:11,16:59,0,0,,85,33,19,64,,zellwol01
391,Jonatan Berggren,25,2TM,RW,51,8,14,22,-5,12,5,3,0,2,14,0,0,58,13.8,128,704:55,13:49,3,2,60.0,14,41,8,41,,berggjo02
391,Jonatan Berggren,25,DET,RW,15,2,4,6,-3,6,1,1,0,0,4,0,0,20,10.0,44,179:45,11:59,0,0,,3,10,1,14,,berggjo02
391,Jonatan Berggren,25,STL,RW,36,6,10,16,-2,6,4,2,0,2,10,0,0,38,15.8,84,525:10,14:35,3,2,60.0,11,31,7,27,,berggjo02
392,Tye Kartye,24,2TM,F,64,8,14,22,-6,38,8,0,0,0,14,0,0,56,14.3,136,765:38,11:58,3,9,25.0,41,173,17,30,,kartyty01
392,Tye Kartye,24,SEA,F,40,3,5,8,-6,21,3,0,0,0,5,0,0,29,10.3,75,428:01,10:42,3,9,25.0,24,98,9,19,,kartyty01
392,Tye Kartye,24,NYR,F,24,5,9,14,0,17,5,0,0,0,9,0,0,27,18.5,61,337:37,14:04,0,0,,17,75,8,11,,kartyty01
393,Dalibor Dvorsky,20,STL,C,71,12,9,21,-6,26,7,5,0,0,7,2,0,92,13.0,181,1018:04,14:20,335,394,46.0,24,77,9,45,,dvorsda01
394,Mark Jankowski,31,CAR,C,68,11,10,21,7,16,11,0,0,3,8,2,0,63,17.5,135,758:17,11:09,361,342,51.4,45,45,11,35,,jankoma01
